Brand, Product Name, Price, Shipping 
AMD,AMD Athlon X4 860k with AMD Quiet Cooler Quad-Core Socket FM2+ 95W AD860KXBJASBX Desktop Processor,189.99,Free Shipping
AMD,AMD A6-3670K Unlocked Llano Quad-Core 2.7 GHz Socket FM1 100W AD3670WNGXBOX Desktop APU (CPU + GPU) with DirectX 11 Graphic AMD Radeon HD 6530D,119.15,$9.99 Shipping
AMD,AMD A12-9800E Bristol Ridge Quad-Core 3.1 GHz Socket AM4 35W AD9800AHABBOX Desktop Processor Radeon R7,289.58,Free Shipping
AMD,AMD A10-9700E Bristol Ridge Quad-Core 3.0 GHz Socket AM4 35W AD9700AHABBOX Desktop Processor Radeon R7,264.27,Free Shipping
AMD,AMD A4-3300 Llano Dual-Core 2.5 GHz Socket FM1 65W AD3300OJHXBOX Desktop APU (CPU + GPU) with DirectX 11 Graphic AMD Radeon HD 6410D,75.47,$9.99 Shipping
AMD,AMD FX-8370 4.0 GHz (4.3 GHz Turbo) Socket AM3+ FD8370FRHKBOX Desktop Processor,201.09,$9.99 Shipping
AMD,AMD Phenom II X2 550 Black Edition Callisto Dual-Core 3.1 GHz Socket AM3 80W HDZ550WFGIBOX Processor,136.39,Free Shipping
AMD,AMD 1st Gen RYZEN Threadripper 1920X 12-Core / 24 Threads 3.5 GHz Socket sTR4 180W YD192XA8AEWOF Desktop Processor,552.45,Free Shipping
AMD,AMD Athlon X4 950 Bristol Ridge Quad-Core 3.5 GHz Socket AM4 65W AD950XAGABBOX Desktop Processor,174.23,Free Shipping
AMD,AMD Athlon 64 X2 5200 Brisbane Dual-Core 2.7 GHz Socket AM2 65W ADO5200DOBOX Processor,90.41,Free Shipping
AMD,AMD A6-7400K Kaveri Dual-Core 3.5 GHz Socket FM2+ 65W AD740KYBJABOX Desktop Processor AMD Radeon R5,149.99,Free Shipping
AMD,AMD Athlon II X3 435 Rana Triple-Core 2.9 GHz Socket AM3 95W ADX435WFGIBOX Processor,107.66,Free Shipping
AMD,AMD Phenom II X2 545 Callisto Dual-Core 3.0 GHz Socket AM3 80W HDX545WFGIBOX Processor,130.64,Free Shipping
AMD,AMD Athlon X4 870k with AMD quiet cooler Quad-Core Socket FM2+ 95W AD870KXBJCSBX Desktop Processor,199.99,Free Shipping
AMD,AMD A6-9500E Bristol Ridge Dual-Core 3.0 GHz Socket AM4 35W AD9500AHABBOX Desktop Processor Radeon R5,185.29,Free Shipping
AMD,AMD Phenom II X3 720 Triple-Core 2.8 GHz Socket AM3 95W HDZ720WFGIBOX Black Processor,173.17,Free Shipping
AMD,AMD K6-2 Chomper 500 MHz Socket 7 K62500AFX-N Processor,35.00,Free Shipping
AMD,AMD 8-Core 4.0 GHz Socket AM3+ FD8350FRW8KHK FX-8350 8C AM3+ 125W Tray,289.99,Free Shipping
AMD,AMD AD860KXBI44JA Athlon X4 860K Quad-Core Processor 3.7GHz Socket FM2+| OEM OEM,189.99,Free Shipping
AMD,AMD AD860KXBI44JA Athlon X4 860K Quad-Core Processor 3.7GHz Socket FM2+| OEM OEM,189.99,Free Shipping
AMD,AMD Athlon II X3 440 Rana Triple-Core 3.0 GHz Socket AM3 95W ADX440WFK32GM Desktop Processor,108.80,Free Shipping
AMD,Refurbished: AMD Athlon 64 4000+ Orleans 2.6 GHz Socket AM2 59W ADA4000IAA4DH Desktop Processor,63.98,Free Shipping
AMD,Refurbished: NEVER USED AMD OEM TRAY FX-6300 Vishera 6-Core 3.5 GHz (4.1 GHz Turbo) Socket AM3+ 95W  Desktop Processor,169.99,Free Shipping
AMD,Refurbished: AMD Athlon Multi Core Processor X4 760K 3.8GHz Richland Socket FM2 100W desktop CPU,129.99,Free Shipping
AMD,Refurbished: AMD FX-Series FX-4300 3.8 GHz 4 MB Cache Quad-Core CPU Processor Socket AM3+ desktop CPU,58.88,Free Shipping
AMD,Refurbished: AMD Phenom II X6 1075T 3.0GHz 6 x 512 KB L2 Cache 6 MB L3 Cache 125W Six-Core Processor Socket AM3 desktop CPU,219.99,Free Shipping
AMD,Refurbished: AMD Phenom X4 9750 2.4GHz Quad-Core Processor Socket AM2+ desktop CPU,89.99,Free Shipping
AMD,Refurbished: AMD Phenom II X6 1045T 2.7GHz six-core CPU Processor HDT45TWFK6DGR 95W Socket AM3 desktop CPU,159.99,Free Shipping
AMD,Refurbished: AMD Athlon X4 860k 3.7GHz AD860KXBI44JA Quad-Core Processor Socket FM2+ Desktop CPU,159.99,Free Shipping
AMD,Refurbished: AMD Athlon II X3 440 3.0GHz 3 x 512 KB L2 Cache Socket AM3 95W Triple-Core Desktop Processor,99.99,Free Shipping
AMD,Refurbished: AMD Athlon 64 X2 4400+ 2.3 GHz 1MB Dual-Core Processor Socket AM2 desktop CPU,69.99,Free Shipping
AMD,Refurbished: AMD Phenom II X4 B97 3.2 GHz quad-core Processor HDXB97WFK4DGM Socket AM3 95W desktop CPU,129.99,Free Shipping
AMD,Refurbished: OEM AMD Athlon X4 860K with 95W Thermal Solution 3.7 4 Socket FM2+ AD860KXBJASBX,159.99,Free Shipping
AMD,Refurbished: AMD Phenom II X6 1055T 2.8 GHz Six Core CPU Processor socket AM3 95W desktop CPU,219.99,Free Shipping
